# Frequency [Hz]		C(f)				sigma(f)
2.000000000000000000e+01	1.364017707839527337e-06	4.979797188555803241e-06
2.003125000000000000e+01	-9.246908563757673695e-06	3.841425600543022534e-06
2.006250000000000000e+01	0.000000000000000000e+00	inf
2.009375000000000000e+01	0.000000000000000000e+00	inf
2.012500000000000000e+01	0.000000000000000000e+00	inf
2.015625000000000000e+01	0.000000000000000000e+00	inf
2.018750000000000000e+01	0.000000000000000000e+00	inf
2.021875000000000000e+01	-2.972397275206300885e-06	4.016285123632413768e-06
2.025000000000000000e+01	-4.244777796615870802e-06	4.702365854916108572e-06
2.028125000000000000e+01	1.972750769872344518e-08	4.005972642602419916e-06
2.031250000000000000e+01	5.217884314178005781e-06	3.419233975368742578e-06
2.034375000000000000e+01	9.650794051041821100e-07	3.471432969166479641e-06
2.037500000000000000e+01	-3.834408628651881256e-06	2.562103096331753802e-06
2.040625000000000000e+01	9.180642194050591838e-08	2.546573329361029183e-06
2.043750000000000000e+01	2.347525609353236811e-08	2.574299475983941388e-06
2.046875000000000000e+01	-4.142870296856585362e-06	2.571738042136321499e-06
2.050000000000000000e+01	7.628586530910199112e-07	2.406857139218557203e-06
2.053125000000000000e+01	-3.346403388963975861e-06	2.165100602861032382e-06
2.056250000000000000e+01	-1.989597094309037240e-06	2.174022917510492227e-06
2.059375000000000000e+01	4.368439863741140957e-06	2.472935511860622991e-06
2.062500000000000000e+01	1.621471884261039386e-06	2.899470957535666534e-06
2.065625000000000000e+01	3.495371736105485237e-06	3.015890015227323410e-06
2.068750000000000000e+01	8.328835193590717032e-07	2.443835010069083956e-06
2.071875000000000000e+01	0.000000000000000000e+00	inf
2.075000000000000000e+01	0.000000000000000000e+00	inf
2.078125000000000000e+01	0.000000000000000000e+00	inf
2.081250000000000000e+01	0.000000000000000000e+00	inf
2.084375000000000000e+01	0.000000000000000000e+00	inf
2.087500000000000000e+01	-1.320361667657255915e-06	1.927786877384680999e-06
2.090625000000000000e+01	-4.339276974654080341e-06	2.529741566577136390e-06
2.093750000000000000e+01	-1.966687803057990061e-06	2.805715738442485146e-06
2.096875000000000000e+01	2.403587010037060495e-06	2.400188692297853174e-06
2.100000000000000000e+01	-1.304541587946605211e-06	1.873671809864929555e-06
2.103125000000000000e+01	-2.512829384826463359e-07	1.594849151268473718e-06
2.106250000000000000e+01	-1.477787991191070110e-06	1.474362542079027629e-06
2.109375000000000000e+01	-2.378048764656667698e-07	1.375653421608960926e-06
2.112500000000000000e+01	-2.070411252883722878e-06	1.275739278849693996e-06
2.115625000000000000e+01	1.043342487527006211e-06	1.173814315567442654e-06
2.118750000000000000e+01	-5.133065968875072739e-07	1.057227361052351990e-06
2.121875000000000000e+01	-4.624498186205385507e-07	1.015760486146490220e-06
2.125000000000000000e+01	-2.066506558396968239e-06	1.045002173106351228e-06
2.128125000000000000e+01	5.387223261734318119e-07	9.951038519571130350e-07
2.131250000000000000e+01	1.468145648843994332e-08	9.461863274177031754e-07
2.134375000000000000e+01	9.409660768280316104e-07	9.235904736329367893e-07
2.137500000000000000e+01	3.568234904291231392e-07	9.011274242415300644e-07
2.140625000000000000e+01	2.922256299930939751e-07	1.278652782981864246e-06
2.143750000000000000e+01	7.325121443642981582e-07	1.531041468489647838e-06
2.146875000000000000e+01	-6.352483166034617476e-07	1.082273156460095832e-06
2.150000000000000000e+01	6.372335293866105988e-07	9.304471314288661143e-07
2.153125000000000000e+01	-3.152164597558927373e-07	9.227381597779692770e-07
2.156250000000000000e+01	-1.850582083716684348e-06	9.563683613240277594e-07
2.159375000000000000e+01	-3.270324578494335477e-07	1.081595773522692984e-06
2.162500000000000000e+01	2.727436956385440376e-06	1.142138585422942328e-06
2.165625000000000000e+01	-2.276553141217473908e-07	1.028228861221769677e-06
2.168750000000000000e+01	3.802128400356257491e-07	9.676640544698145659e-07
2.171875000000000000e+01	-7.316232208843533944e-07	9.130852206351569239e-07
2.175000000000000000e+01	2.290306072220439283e-07	9.096482161595365742e-07
2.178125000000000000e+01	2.304723433448650713e-07	9.099870227461876478e-07
2.181250000000000000e+01	-1.644452013520703745e-06	1.028254288473581788e-06
2.184375000000000000e+01	0.000000000000000000e+00	inf
2.187500000000000000e+01	0.000000000000000000e+00	inf
2.190625000000000000e+01	0.000000000000000000e+00	inf
2.193750000000000000e+01	0.000000000000000000e+00	inf
2.196875000000000000e+01	0.000000000000000000e+00	inf
2.200000000000000000e+01	-1.828371605369200015e-06	9.932505202850422144e-07
2.203125000000000000e+01	4.627852066565068658e-07	9.362594049766378317e-07
2.206250000000000000e+01	-1.605831477935042514e-06	9.525890962497982070e-07
2.209375000000000000e+01	-3.071159472364885565e-07	1.011298932203076890e-06
2.212500000000000000e+01	4.371823063365770136e-07	1.020125729421254930e-06
2.215625000000000000e+01	-4.442613555905967144e-07	9.409013445970276453e-07
2.218750000000000000e+01	-2.778205402428135176e-07	8.857706146819058599e-07
2.221875000000000000e+01	-1.090501698659555965e-06	8.417983276224903363e-07
2.225000000000000000e+01	-4.503557179455309067e-07	8.663916314871621106e-07
2.228125000000000000e+01	0.000000000000000000e+00	inf
2.231250000000000000e+01	0.000000000000000000e+00	inf
2.234375000000000000e+01	0.000000000000000000e+00	inf
2.237500000000000000e+01	0.000000000000000000e+00	inf
2.240625000000000000e+01	0.000000000000000000e+00	inf
2.243750000000000000e+01	3.928083180923534132e-08	7.914455142985872558e-07
2.246875000000000000e+01	4.143802894957128752e-07	7.113562702823342469e-07
2.250000000000000000e+01	1.211682319595690428e-06	6.736478485485449185e-07
