Band	Description
[68.98, 69.02] Hz 	Comb with fundamental freq 20 and spacing 1
[69.98, 70.02] Hz 	Comb with fundamental freq 20 and spacing 1
[70.98, 71.02] Hz 	Comb with fundamental freq 20 and spacing 1
[71.98, 72.02] Hz 	Comb with fundamental freq 20 and spacing 1
[72.98, 73.02] Hz 	Comb with fundamental freq 20 and spacing 1
[73.98, 74.02] Hz 	Comb with fundamental freq 20 and spacing 1
[74.98, 75.02] Hz 	Comb with fundamental freq 20 and spacing 1
[75.98, 76.02] Hz 	Comb with fundamental freq 20 and spacing 1
[76.98, 77.02] Hz 	Comb with fundamental freq 20 and spacing 1
[77.42, 77.58] Hz 	V1 NE EM calibration line
[77.98, 78.02] Hz 	Comb with fundamental freq 20 and spacing 1
[78.98, 79.02] Hz 	Comb with fundamental freq 20 and spacing 1
[79.98, 80.02] Hz 	Comb with fundamental freq 20 and spacing 1
[80.98, 81.02] Hz 	Comb with fundamental freq 20 and spacing 1
[81.98, 82.02] Hz 	Comb with fundamental freq 20 and spacing 1
[82.98, 83.02] Hz 	Comb with fundamental freq 20 and spacing 1
[83.98, 84.02] Hz 	Comb with fundamental freq 20 and spacing 1
[84.98, 85.02] Hz 	Comb with fundamental freq 20 and spacing 1
[85.98, 86.02] Hz 	Comb with fundamental freq 20 and spacing 1
[86.98, 87.02] Hz 	Comb with fundamental freq 20 and spacing 1
[87.02, 87.17] Hz 	SDB1 OMC
[87.98, 88.02] Hz 	Comb with fundamental freq 20 and spacing 1
[88.98, 89.02] Hz 	Comb with fundamental freq 20 and spacing 1
[89.98, 90.02] Hz 	Comb with fundamental freq 20 and spacing 1
[90.98, 91.02] Hz 	Comb with fundamental freq 20 and spacing 1
[91.98, 92.02] Hz 	Comb with fundamental freq 20 and spacing 1
[92.98, 93.02] Hz 	Comb with fundamental freq 20 and spacing 1
[93.98, 94.02] Hz 	Comb with fundamental freq 20 and spacing 1
[94.98, 95.02] Hz 	Comb with fundamental freq 20 and spacing 1
[95.98, 96.02] Hz 	Comb with fundamental freq 20 and spacing 1
[96.98, 97.02] Hz 	Comb with fundamental freq 20 and spacing 1
[96.92, 97.08] Hz 	1Hz comb with larger bin width since in coh spectra adjecent bins where also loud lines.
[97.98, 98.02] Hz 	Comb with fundamental freq 20 and spacing 1
[98.98, 99.02] Hz 	Comb with fundamental freq 20 and spacing 1
[98.92, 99.08] Hz 	1Hz comb with larger bin width since in coh spectra adjecent bins where also loud lines.
[99.89, 100.11] Hz 	Power Lines
[99.98, 100.02] Hz 	Comb with fundamental freq 20 and spacing 1
[100.98, 101.02] Hz 	Comb with fundamental freq 20 and spacing 1
[101.98, 102.02] Hz 	Comb with fundamental freq 20 and spacing 1
[102.98, 103.02] Hz 	Comb with fundamental freq 20 and spacing 1
[103.98, 104.02] Hz 	Comb with fundamental freq 20 and spacing 1
[104.98, 105.02] Hz 	Comb with fundamental freq 20 and spacing 1
[105.98, 106.02] Hz 	Comb with fundamental freq 20 and spacing 1
[106.42, 106.58] Hz 	V1 WE EM calibration line
[106.98, 107.02] Hz 	Comb with fundamental freq 20 and spacing 1
[107.42, 107.58] Hz 	V1 NE EM calibration line
[107.98, 108.02] Hz 	Comb with fundamental freq 20 and spacing 1
[108.83, 108.86] Hz 	Pulsar injection
[108.98, 109.02] Hz 	Comb with fundamental freq 20 and spacing 1
[109.98, 110.02] Hz 	Comb with fundamental freq 20 and spacing 1
[110.98, 111.02] Hz 	Comb with fundamental freq 20 and spacing 1
[111.98, 112.02] Hz 	Comb with fundamental freq 20 and spacing 1
[112.98, 113.02] Hz 	Comb with fundamental freq 20 and spacing 1
[113.98, 114.02] Hz 	Comb with fundamental freq 20 and spacing 1
[114.98, 115.02] Hz 	Comb with fundamental freq 20 and spacing 1
[115.98, 116.02] Hz 	Comb with fundamental freq 20 and spacing 1
[116.98, 117.02] Hz 	Comb with fundamental freq 20 and spacing 1
[117.98, 118.02] Hz 	Comb with fundamental freq 20 and spacing 1
[118.98, 119.02] Hz 	Comb with fundamental freq 20 and spacing 1
