Band	Description
[342.98, 343.02] Hz 	Comb with fundamental freq 20 and spacing 1
[343.98, 344.02] Hz 	Comb with fundamental freq 20 and spacing 1
[344.98, 345.02] Hz 	Comb with fundamental freq 20 and spacing 1
[345.98, 346.02] Hz 	Comb with fundamental freq 20 and spacing 1
[346.98, 347.02] Hz 	Comb with fundamental freq 20 and spacing 1
[347.98, 348.02] Hz 	Comb with fundamental freq 20 and spacing 1
[348.98, 349.02] Hz 	Comb with fundamental freq 20 and spacing 1
[349.89, 350.11] Hz 	Power Lines
[349.98, 350.02] Hz 	Comb with fundamental freq 20 and spacing 1
[350.98, 351.02] Hz 	Comb with fundamental freq 20 and spacing 1
[351.98, 352.02] Hz 	Comb with fundamental freq 20 and spacing 1
[352.98, 353.02] Hz 	Comb with fundamental freq 20 and spacing 1
[353.98, 354.02] Hz 	Comb with fundamental freq 20 and spacing 1
[354.98, 355.02] Hz 	Comb with fundamental freq 20 and spacing 1
[355.42, 355.58] Hz 	V1 WE PCAL calibration line
[355.92, 356.08] Hz 	V1 BS EM calibration line
[355.98, 356.02] Hz 	Comb with fundamental freq 20 and spacing 1
[356.42, 356.58] Hz 	V1 WE EM calibration line
[356.98, 357.02] Hz 	Comb with fundamental freq 20 and spacing 1
[357.42, 357.58] Hz 	V1 NE EM calibration line
[357.92, 358.08] Hz 	V1 PR EM calibration line
[357.98, 358.02] Hz 	Comb with fundamental freq 20 and spacing 1
[358.98, 359.02] Hz 	Comb with fundamental freq 20 and spacing 1
[359.42, 359.58] Hz 	V1 NE PCALcalibration line
[359.89, 360.11] Hz 	Power Lines
[359.98, 360.02] Hz 	Comb with fundamental freq 20 and spacing 1
[360.98, 361.02] Hz 	Comb with fundamental freq 20 and spacing 1
[361.98, 362.02] Hz 	Comb with fundamental freq 20 and spacing 1
[362.98, 363.02] Hz 	Comb with fundamental freq 20 and spacing 1
[363.98, 364.02] Hz 	Comb with fundamental freq 20 and spacing 1
[364.98, 365.02] Hz 	Comb with fundamental freq 20 and spacing 1
[365.98, 366.02] Hz 	Comb with fundamental freq 20 and spacing 1
[366.98, 367.02] Hz 	Comb with fundamental freq 20 and spacing 1
[367.98, 368.02] Hz 	Comb with fundamental freq 20 and spacing 1
[368.98, 369.02] Hz 	Comb with fundamental freq 20 and spacing 1
[369.98, 370.02] Hz 	Comb with fundamental freq 20 and spacing 1
[370.98, 371.02] Hz 	Comb with fundamental freq 20 and spacing 1
[371.98, 372.02] Hz 	Comb with fundamental freq 20 and spacing 1
[372.98, 373.02] Hz 	Comb with fundamental freq 20 and spacing 1
[373.98, 374.02] Hz 	Comb with fundamental freq 20 and spacing 1
[374.98, 375.02] Hz 	Comb with fundamental freq 20 and spacing 1
[375.98, 376.02] Hz 	Comb with fundamental freq 20 and spacing 1
[376.98, 377.02] Hz 	Comb with fundamental freq 20 and spacing 1
[377.98, 378.02] Hz 	Comb with fundamental freq 20 and spacing 1
[378.98, 379.02] Hz 	Comb with fundamental freq 20 and spacing 1
[379.98, 380.02] Hz 	Comb with fundamental freq 20 and spacing 1
[380.98, 381.02] Hz 	Comb with fundamental freq 20 and spacing 1
[381.98, 382.02] Hz 	Comb with fundamental freq 20 and spacing 1
[382.98, 383.02] Hz 	Comb with fundamental freq 20 and spacing 1
[383.98, 384.02] Hz 	Comb with fundamental freq 20 and spacing 1
[384.98, 385.02] Hz 	Comb with fundamental freq 20 and spacing 1
[385.98, 386.02] Hz 	Comb with fundamental freq 20 and spacing 1
[386.98, 387.02] Hz 	Comb with fundamental freq 20 and spacing 1
[387.98, 388.02] Hz 	Comb with fundamental freq 20 and spacing 1
[388.98, 389.02] Hz 	Comb with fundamental freq 20 and spacing 1
[389.98, 390.02] Hz 	Comb with fundamental freq 20 and spacing 1
[390.98, 391.02] Hz 	Comb with fundamental freq 20 and spacing 1
[391.98, 392.02] Hz 	Comb with fundamental freq 20 and spacing 1
[392.98, 393.02] Hz 	Comb with fundamental freq 20 and spacing 1
[393.98, 394.02] Hz 	Comb with fundamental freq 20 and spacing 1
[394.98, 395.02] Hz 	Comb with fundamental freq 20 and spacing 1
[395.98, 396.02] Hz 	Comb with fundamental freq 20 and spacing 1
[396.98, 397.02] Hz 	Comb with fundamental freq 20 and spacing 1
[397.98, 398.02] Hz 	Comb with fundamental freq 20 and spacing 1
[398.98, 399.02] Hz 	Comb with fundamental freq 20 and spacing 1
[399.89, 400.11] Hz 	Power Lines
[399.98, 400.02] Hz 	Comb with fundamental freq 20 and spacing 1
[400.98, 401.02] Hz 	Comb with fundamental freq 20 and spacing 1
[401.98, 402.02] Hz 	Comb with fundamental freq 20 and spacing 1
[402.98, 403.02] Hz 	Comb with fundamental freq 20 and spacing 1
[403.98, 404.02] Hz 	Comb with fundamental freq 20 and spacing 1
[404.98, 405.02] Hz 	Comb with fundamental freq 20 and spacing 1
[405.98, 406.02] Hz 	Comb with fundamental freq 20 and spacing 1
[406.42, 406.58] Hz 	V1 WE EM calibration line
[406.98, 407.02] Hz 	Comb with fundamental freq 20 and spacing 1
[407.98, 408.02] Hz 	Comb with fundamental freq 20 and spacing 1
[408.98, 409.02] Hz 	Comb with fundamental freq 20 and spacing 1
[409.98, 410.02] Hz 	Comb with fundamental freq 20 and spacing 1
[409.80, 410.83] Hz 	H1 calibration line
[410.98, 411.02] Hz 	Comb with fundamental freq 20 and spacing 1
[411.98, 412.02] Hz 	Comb with fundamental freq 20 and spacing 1
[412.98, 413.02] Hz 	Comb with fundamental freq 20 and spacing 1
[413.98, 414.02] Hz 	Comb with fundamental freq 20 and spacing 1
[414.98, 415.02] Hz 	Comb with fundamental freq 20 and spacing 1
[415.98, 416.02] Hz 	Comb with fundamental freq 20 and spacing 1
[416.98, 417.02] Hz 	Comb with fundamental freq 20 and spacing 1
[417.98, 418.02] Hz 	Comb with fundamental freq 20 and spacing 1
[418.98, 419.02] Hz 	Comb with fundamental freq 20 and spacing 1
[419.89, 420.11] Hz 	Power Lines
[419.98, 420.02] Hz 	Comb with fundamental freq 20 and spacing 1
[420.98, 421.02] Hz 	Comb with fundamental freq 20 and spacing 1
[421.98, 422.02] Hz 	Comb with fundamental freq 20 and spacing 1
[422.98, 423.02] Hz 	Comb with fundamental freq 20 and spacing 1
[423.98, 424.02] Hz 	Comb with fundamental freq 20 and spacing 1
[424.98, 425.02] Hz 	Comb with fundamental freq 20 and spacing 1
[425.98, 426.02] Hz 	Comb with fundamental freq 20 and spacing 1
[426.98, 427.02] Hz 	Comb with fundamental freq 20 and spacing 1
[427.98, 428.02] Hz 	Comb with fundamental freq 20 and spacing 1
[428.98, 429.02] Hz 	Comb with fundamental freq 20 and spacing 1
[429.98, 430.02] Hz 	Comb with fundamental freq 20 and spacing 1
[430.98, 431.02] Hz 	Comb with fundamental freq 20 and spacing 1
[431.98, 432.02] Hz 	Comb with fundamental freq 20 and spacing 1
[432.98, 433.02] Hz 	Comb with fundamental freq 20 and spacing 1
[433.98, 434.02] Hz 	Comb with fundamental freq 20 and spacing 1
[434.98, 435.02] Hz 	Comb with fundamental freq 20 and spacing 1
[435.98, 436.02] Hz 	Comb with fundamental freq 20 and spacing 1
[436.98, 437.02] Hz 	Comb with fundamental freq 20 and spacing 1
[437.98, 438.02] Hz 	Comb with fundamental freq 20 and spacing 1
[438.98, 439.02] Hz 	Comb with fundamental freq 20 and spacing 1
[439.98, 440.02] Hz 	Comb with fundamental freq 20 and spacing 1
[440.98, 441.02] Hz 	Comb with fundamental freq 20 and spacing 1
[441.98, 442.02] Hz 	Comb with fundamental freq 20 and spacing 1
[442.98, 443.02] Hz 	Comb with fundamental freq 20 and spacing 1
[443.98, 444.02] Hz 	Comb with fundamental freq 20 and spacing 1
[444.98, 445.02] Hz 	Comb with fundamental freq 20 and spacing 1
[445.98, 446.02] Hz 	Comb with fundamental freq 20 and spacing 1
[446.98, 447.02] Hz 	Comb with fundamental freq 20 and spacing 1
[447.98, 448.02] Hz 	Comb with fundamental freq 20 and spacing 1
[448.98, 449.02] Hz 	Comb with fundamental freq 20 and spacing 1
[441.98, 457.02] Hz 	Violin mode 1st harmonic
[449.89, 450.11] Hz 	Power Lines
[449.98, 450.02] Hz 	Comb with fundamental freq 20 and spacing 1
[450.98, 451.02] Hz 	Comb with fundamental freq 20 and spacing 1
[451.98, 452.02] Hz 	Comb with fundamental freq 20 and spacing 1
[452.98, 453.02] Hz 	Comb with fundamental freq 20 and spacing 1
[453.98, 454.02] Hz 	Comb with fundamental freq 20 and spacing 1
[454.98, 455.02] Hz 	Comb with fundamental freq 20 and spacing 1
[455.98, 456.02] Hz 	Comb with fundamental freq 20 and spacing 1
[456.98, 457.02] Hz 	Comb with fundamental freq 20 and spacing 1
[457.98, 458.02] Hz 	Comb with fundamental freq 20 and spacing 1
[458.98, 459.02] Hz 	Comb with fundamental freq 20 and spacing 1
[459.98, 460.02] Hz 	Comb with fundamental freq 20 and spacing 1
[460.98, 461.02] Hz 	Comb with fundamental freq 20 and spacing 1
[461.98, 462.02] Hz 	Comb with fundamental freq 20 and spacing 1
[462.98, 463.02] Hz 	Comb with fundamental freq 20 and spacing 1
[463.98, 464.02] Hz 	Comb with fundamental freq 20 and spacing 1
[464.98, 465.02] Hz 	Comb with fundamental freq 20 and spacing 1
[465.98, 466.02] Hz 	Comb with fundamental freq 20 and spacing 1
[466.98, 467.02] Hz 	Comb with fundamental freq 20 and spacing 1
[467.98, 468.02] Hz 	Comb with fundamental freq 20 and spacing 1
[468.98, 469.02] Hz 	Comb with fundamental freq 20 and spacing 1
[469.98, 470.02] Hz 	Comb with fundamental freq 20 and spacing 1
[470.98, 471.02] Hz 	Comb with fundamental freq 20 and spacing 1
[471.98, 472.02] Hz 	Comb with fundamental freq 20 and spacing 1
[472.98, 473.02] Hz 	Comb with fundamental freq 20 and spacing 1
[473.98, 474.02] Hz 	Comb with fundamental freq 20 and spacing 1
[474.98, 475.02] Hz 	Comb with fundamental freq 20 and spacing 1
[475.98, 476.02] Hz 	Comb with fundamental freq 20 and spacing 1
[476.98, 477.02] Hz 	Comb with fundamental freq 20 and spacing 1
[477.98, 478.02] Hz 	Comb with fundamental freq 20 and spacing 1
[478.98, 479.02] Hz 	Comb with fundamental freq 20 and spacing 1
[479.89, 480.11] Hz 	Power Lines
[479.98, 480.02] Hz 	Comb with fundamental freq 20 and spacing 1
[480.98, 481.02] Hz 	Comb with fundamental freq 20 and spacing 1
[481.98, 482.02] Hz 	Comb with fundamental freq 20 and spacing 1
[482.98, 483.02] Hz 	Comb with fundamental freq 20 and spacing 1
[483.98, 484.02] Hz 	Comb with fundamental freq 20 and spacing 1
[484.98, 485.02] Hz 	Comb with fundamental freq 20 and spacing 1
[485.98, 486.02] Hz 	Comb with fundamental freq 20 and spacing 1
[486.98, 487.02] Hz 	Comb with fundamental freq 20 and spacing 1
[487.98, 488.02] Hz 	Comb with fundamental freq 20 and spacing 1
[488.98, 489.02] Hz 	Comb with fundamental freq 20 and spacing 1
[489.98, 490.02] Hz 	Comb with fundamental freq 20 and spacing 1
[490.98, 491.02] Hz 	Comb with fundamental freq 20 and spacing 1
[491.98, 492.02] Hz 	Comb with fundamental freq 20 and spacing 1
[492.98, 493.02] Hz 	Comb with fundamental freq 20 and spacing 1
[493.98, 494.02] Hz 	Comb with fundamental freq 20 and spacing 1
[494.98, 495.02] Hz 	Comb with fundamental freq 20 and spacing 1
[495.98, 496.02] Hz 	Comb with fundamental freq 20 and spacing 1
[496.98, 497.02] Hz 	Comb with fundamental freq 20 and spacing 1
[497.98, 498.02] Hz 	Comb with fundamental freq 20 and spacing 1
[498.98, 499.02] Hz 	Comb with fundamental freq 20 and spacing 1
[499.89, 500.11] Hz 	Power Lines
[479.98, 520.02] Hz 	Violin mode 1st harmonic
[499.98, 500.02] Hz 	Comb with fundamental freq 20 and spacing 1
[500.98, 501.02] Hz 	Comb with fundamental freq 20 and spacing 1
[501.98, 502.02] Hz 	Comb with fundamental freq 20 and spacing 1
[502.98, 503.02] Hz 	Comb with fundamental freq 20 and spacing 1
[503.98, 504.02] Hz 	Comb with fundamental freq 20 and spacing 1
[504.98, 505.02] Hz 	Comb with fundamental freq 20 and spacing 1
[505.98, 506.02] Hz 	Comb with fundamental freq 20 and spacing 1
[506.98, 507.02] Hz 	Comb with fundamental freq 20 and spacing 1
[507.98, 508.02] Hz 	Comb with fundamental freq 20 and spacing 1
[508.98, 509.02] Hz 	Comb with fundamental freq 20 and spacing 1
[509.98, 510.02] Hz 	Comb with fundamental freq 20 and spacing 1
[510.98, 511.02] Hz 	Comb with fundamental freq 20 and spacing 1
[511.98, 512.02] Hz 	Comb with fundamental freq 20 and spacing 1
[512.98, 513.02] Hz 	Comb with fundamental freq 20 and spacing 1
[513.98, 514.02] Hz 	Comb with fundamental freq 20 and spacing 1
[514.98, 515.02] Hz 	Comb with fundamental freq 20 and spacing 1
[515.98, 516.02] Hz 	Comb with fundamental freq 20 and spacing 1
[516.98, 517.02] Hz 	Comb with fundamental freq 20 and spacing 1
[517.98, 518.02] Hz 	Comb with fundamental freq 20 and spacing 1
[518.98, 519.02] Hz 	Comb with fundamental freq 20 and spacing 1
[519.98, 520.02] Hz 	Comb with fundamental freq 20 and spacing 1
[520.98, 521.02] Hz 	Comb with fundamental freq 20 and spacing 1
[521.98, 522.02] Hz 	Comb with fundamental freq 20 and spacing 1
[522.98, 523.02] Hz 	Comb with fundamental freq 20 and spacing 1
[523.98, 524.02] Hz 	Comb with fundamental freq 20 and spacing 1
[524.98, 525.02] Hz 	Comb with fundamental freq 20 and spacing 1
[525.98, 526.02] Hz 	Comb with fundamental freq 20 and spacing 1
[526.98, 527.02] Hz 	Comb with fundamental freq 20 and spacing 1
[527.98, 528.02] Hz 	Comb with fundamental freq 20 and spacing 1
[528.98, 529.02] Hz 	Comb with fundamental freq 20 and spacing 1
[529.98, 530.02] Hz 	Comb with fundamental freq 20 and spacing 1
[530.98, 531.02] Hz 	Comb with fundamental freq 20 and spacing 1
[531.98, 532.02] Hz 	Comb with fundamental freq 20 and spacing 1
[532.98, 533.02] Hz 	Comb with fundamental freq 20 and spacing 1
[533.98, 534.02] Hz 	Comb with fundamental freq 20 and spacing 1
[534.98, 535.02] Hz 	Comb with fundamental freq 20 and spacing 1
[535.98, 536.02] Hz 	Comb with fundamental freq 20 and spacing 1
[536.98, 537.02] Hz 	Comb with fundamental freq 20 and spacing 1
[537.98, 538.02] Hz 	Comb with fundamental freq 20 and spacing 1
[538.98, 539.02] Hz 	Comb with fundamental freq 20 and spacing 1
[539.89, 540.11] Hz 	Power Lines
[539.98, 540.02] Hz 	Comb with fundamental freq 20 and spacing 1
[540.98, 541.02] Hz 	Comb with fundamental freq 20 and spacing 1
[541.98, 542.02] Hz 	Comb with fundamental freq 20 and spacing 1
[542.98, 543.02] Hz 	Comb with fundamental freq 20 and spacing 1
[543.98, 544.02] Hz 	Comb with fundamental freq 20 and spacing 1
[544.98, 545.02] Hz 	Comb with fundamental freq 20 and spacing 1
[545.98, 546.02] Hz 	Comb with fundamental freq 20 and spacing 1
[546.98, 547.02] Hz 	Comb with fundamental freq 20 and spacing 1
[547.98, 548.02] Hz 	Comb with fundamental freq 20 and spacing 1
[548.98, 549.02] Hz 	Comb with fundamental freq 20 and spacing 1
[549.89, 550.11] Hz 	Power Lines
[549.98, 550.02] Hz 	Comb with fundamental freq 20 and spacing 1
[550.98, 551.02] Hz 	Comb with fundamental freq 20 and spacing 1
[551.98, 552.02] Hz 	Comb with fundamental freq 20 and spacing 1
[552.98, 553.02] Hz 	Comb with fundamental freq 20 and spacing 1
[553.98, 554.02] Hz 	Comb with fundamental freq 20 and spacing 1
[554.98, 555.02] Hz 	Comb with fundamental freq 20 and spacing 1
[549.98, 561.02] Hz 	BS Violin mode 2nd harmonic
[555.98, 556.02] Hz 	Comb with fundamental freq 20 and spacing 1
[556.98, 557.02] Hz 	Comb with fundamental freq 20 and spacing 1
[557.98, 558.02] Hz 	Comb with fundamental freq 20 and spacing 1
[558.98, 559.02] Hz 	Comb with fundamental freq 20 and spacing 1
[559.98, 560.02] Hz 	Comb with fundamental freq 20 and spacing 1
[560.98, 561.02] Hz 	Comb with fundamental freq 20 and spacing 1
[561.98, 562.02] Hz 	Comb with fundamental freq 20 and spacing 1
[562.98, 563.02] Hz 	Comb with fundamental freq 20 and spacing 1
[563.98, 564.02] Hz 	Comb with fundamental freq 20 and spacing 1
[564.98, 565.02] Hz 	Comb with fundamental freq 20 and spacing 1
[565.98, 566.02] Hz 	Comb with fundamental freq 20 and spacing 1
[566.98, 567.02] Hz 	Comb with fundamental freq 20 and spacing 1
[567.98, 568.02] Hz 	Comb with fundamental freq 20 and spacing 1
[568.98, 569.02] Hz 	Comb with fundamental freq 20 and spacing 1
[569.98, 570.02] Hz 	Comb with fundamental freq 20 and spacing 1
[570.98, 571.02] Hz 	Comb with fundamental freq 20 and spacing 1
[571.98, 572.02] Hz 	Comb with fundamental freq 20 and spacing 1
[572.98, 573.02] Hz 	Comb with fundamental freq 20 and spacing 1
[573.98, 574.02] Hz 	Comb with fundamental freq 20 and spacing 1
[574.98, 575.02] Hz 	Comb with fundamental freq 20 and spacing 1
[575.08, 575.23] Hz 	Pulsar injection
[575.98, 576.02] Hz 	Comb with fundamental freq 20 and spacing 1
[576.98, 577.02] Hz 	Comb with fundamental freq 20 and spacing 1
[577.98, 578.02] Hz 	Comb with fundamental freq 20 and spacing 1
[578.98, 579.02] Hz 	Comb with fundamental freq 20 and spacing 1
[579.98, 580.02] Hz 	Comb with fundamental freq 20 and spacing 1
[580.98, 581.02] Hz 	Comb with fundamental freq 20 and spacing 1
[581.98, 582.02] Hz 	Comb with fundamental freq 20 and spacing 1
[582.98, 583.02] Hz 	Comb with fundamental freq 20 and spacing 1
[583.98, 584.02] Hz 	Comb with fundamental freq 20 and spacing 1
[584.98, 585.02] Hz 	Comb with fundamental freq 20 and spacing 1
[585.98, 586.02] Hz 	Comb with fundamental freq 20 and spacing 1
[586.98, 587.02] Hz 	Comb with fundamental freq 20 and spacing 1
[587.98, 588.02] Hz 	Comb with fundamental freq 20 and spacing 1
[588.98, 589.02] Hz 	Comb with fundamental freq 20 and spacing 1
[589.98, 590.02] Hz 	Comb with fundamental freq 20 and spacing 1
[590.98, 591.02] Hz 	Comb with fundamental freq 20 and spacing 1
[591.98, 592.02] Hz 	Comb with fundamental freq 20 and spacing 1
[592.98, 593.02] Hz 	Comb with fundamental freq 20 and spacing 1
[593.98, 594.02] Hz 	Comb with fundamental freq 20 and spacing 1
[594.98, 595.02] Hz 	Comb with fundamental freq 20 and spacing 1
[595.98, 596.02] Hz 	Comb with fundamental freq 20 and spacing 1
[596.98, 597.02] Hz 	Comb with fundamental freq 20 and spacing 1
[597.98, 598.02] Hz 	Comb with fundamental freq 20 and spacing 1
[598.98, 599.02] Hz 	Comb with fundamental freq 20 and spacing 1
[599.89, 600.11] Hz 	Power Lines
[599.89, 600.11] Hz 	Power Lines
[599.98, 600.02] Hz 	Comb with fundamental freq 20 and spacing 1
[600.98, 601.02] Hz 	Comb with fundamental freq 20 and spacing 1
[601.98, 602.02] Hz 	Comb with fundamental freq 20 and spacing 1
[602.98, 603.02] Hz 	Comb with fundamental freq 20 and spacing 1
[603.98, 604.02] Hz 	Comb with fundamental freq 20 and spacing 1
[604.98, 605.02] Hz 	Comb with fundamental freq 20 and spacing 1
[605.98, 606.02] Hz 	Comb with fundamental freq 20 and spacing 1
[606.98, 607.02] Hz 	Comb with fundamental freq 20 and spacing 1
[607.98, 608.02] Hz 	Comb with fundamental freq 20 and spacing 1
[608.98, 609.02] Hz 	Comb with fundamental freq 20 and spacing 1
[609.98, 610.02] Hz 	Comb with fundamental freq 20 and spacing 1
[610.98, 611.02] Hz 	Comb with fundamental freq 20 and spacing 1
[611.98, 612.02] Hz 	Comb with fundamental freq 20 and spacing 1
[612.98, 613.02] Hz 	Comb with fundamental freq 20 and spacing 1
[613.98, 614.02] Hz 	Comb with fundamental freq 20 and spacing 1
[614.98, 615.02] Hz 	Comb with fundamental freq 20 and spacing 1
[615.98, 616.02] Hz 	Comb with fundamental freq 20 and spacing 1
[616.98, 617.02] Hz 	Comb with fundamental freq 20 and spacing 1
[617.98, 618.02] Hz 	Comb with fundamental freq 20 and spacing 1
[618.98, 619.02] Hz 	Comb with fundamental freq 20 and spacing 1
[619.98, 620.02] Hz 	Comb with fundamental freq 20 and spacing 1
[620.98, 621.02] Hz 	Comb with fundamental freq 20 and spacing 1
[621.98, 622.02] Hz 	Comb with fundamental freq 20 and spacing 1
[622.98, 623.02] Hz 	Comb with fundamental freq 20 and spacing 1
[623.98, 624.02] Hz 	Comb with fundamental freq 20 and spacing 1
[624.98, 625.02] Hz 	Comb with fundamental freq 20 and spacing 1
[625.98, 626.02] Hz 	Comb with fundamental freq 20 and spacing 1
[626.98, 627.02] Hz 	Comb with fundamental freq 20 and spacing 1
[627.98, 628.02] Hz 	Comb with fundamental freq 20 and spacing 1
[628.98, 629.02] Hz 	Comb with fundamental freq 20 and spacing 1
[629.98, 630.02] Hz 	Comb with fundamental freq 20 and spacing 1
[630.98, 631.02] Hz 	Comb with fundamental freq 20 and spacing 1
[631.98, 632.02] Hz 	Comb with fundamental freq 20 and spacing 1
[632.98, 633.02] Hz 	Comb with fundamental freq 20 and spacing 1
[633.98, 634.02] Hz 	Comb with fundamental freq 20 and spacing 1
[634.98, 635.02] Hz 	Comb with fundamental freq 20 and spacing 1
[635.98, 636.02] Hz 	Comb with fundamental freq 20 and spacing 1
[636.98, 637.02] Hz 	Comb with fundamental freq 20 and spacing 1
[637.98, 638.02] Hz 	Comb with fundamental freq 20 and spacing 1
[638.98, 639.02] Hz 	Comb with fundamental freq 20 and spacing 1
[639.98, 640.02] Hz 	Comb with fundamental freq 20 and spacing 1
[640.98, 641.02] Hz 	Comb with fundamental freq 20 and spacing 1
[641.98, 642.02] Hz 	Comb with fundamental freq 20 and spacing 1
[642.98, 643.02] Hz 	Comb with fundamental freq 20 and spacing 1
[643.98, 644.02] Hz 	Comb with fundamental freq 20 and spacing 1
[644.98, 645.02] Hz 	Comb with fundamental freq 20 and spacing 1
[645.98, 646.02] Hz 	Comb with fundamental freq 20 and spacing 1
[646.98, 647.02] Hz 	Comb with fundamental freq 20 and spacing 1
[647.98, 648.02] Hz 	Comb with fundamental freq 20 and spacing 1
[648.98, 649.02] Hz 	Comb with fundamental freq 20 and spacing 1
[649.89, 650.11] Hz 	Power Lines
[649.98, 650.02] Hz 	Comb with fundamental freq 20 and spacing 1
[650.98, 651.02] Hz 	Comb with fundamental freq 20 and spacing 1
[651.98, 652.02] Hz 	Comb with fundamental freq 20 and spacing 1
[652.98, 653.02] Hz 	Comb with fundamental freq 20 and spacing 1
[653.98, 654.02] Hz 	Comb with fundamental freq 20 and spacing 1
[654.98, 655.02] Hz 	Comb with fundamental freq 20 and spacing 1
[655.98, 656.02] Hz 	Comb with fundamental freq 20 and spacing 1
[656.98, 657.02] Hz 	Comb with fundamental freq 20 and spacing 1
[657.98, 658.02] Hz 	Comb with fundamental freq 20 and spacing 1
[658.98, 659.02] Hz 	Comb with fundamental freq 20 and spacing 1
[659.89, 660.11] Hz 	Power Lines
[659.98, 660.02] Hz 	Comb with fundamental freq 20 and spacing 1
[660.98, 661.02] Hz 	Comb with fundamental freq 20 and spacing 1
[661.98, 662.02] Hz 	Comb with fundamental freq 20 and spacing 1
[662.98, 663.02] Hz 	Comb with fundamental freq 20 and spacing 1
[663.98, 664.02] Hz 	Comb with fundamental freq 20 and spacing 1
[664.98, 665.02] Hz 	Comb with fundamental freq 20 and spacing 1
[665.98, 666.02] Hz 	Comb with fundamental freq 20 and spacing 1
[666.98, 667.02] Hz 	Comb with fundamental freq 20 and spacing 1
[667.98, 668.02] Hz 	Comb with fundamental freq 20 and spacing 1
[668.98, 669.02] Hz 	Comb with fundamental freq 20 and spacing 1
[669.98, 670.02] Hz 	Comb with fundamental freq 20 and spacing 1
[670.98, 671.02] Hz 	Comb with fundamental freq 20 and spacing 1
[671.98, 672.02] Hz 	Comb with fundamental freq 20 and spacing 1
[672.98, 673.02] Hz 	Comb with fundamental freq 20 and spacing 1
[673.98, 674.02] Hz 	Comb with fundamental freq 20 and spacing 1
[674.98, 675.02] Hz 	Comb with fundamental freq 20 and spacing 1
[675.98, 676.02] Hz 	Comb with fundamental freq 20 and spacing 1
[676.98, 677.02] Hz 	Comb with fundamental freq 20 and spacing 1
[677.98, 678.02] Hz 	Comb with fundamental freq 20 and spacing 1
[678.98, 679.02] Hz 	Comb with fundamental freq 20 and spacing 1
[679.98, 680.02] Hz 	Comb with fundamental freq 20 and spacing 1
[680.98, 681.02] Hz 	Comb with fundamental freq 20 and spacing 1
[681.98, 682.02] Hz 	Comb with fundamental freq 20 and spacing 1
[682.98, 683.02] Hz 	Comb with fundamental freq 20 and spacing 1
[683.98, 684.02] Hz 	Comb with fundamental freq 20 and spacing 1
[684.98, 685.02] Hz 	Comb with fundamental freq 20 and spacing 1
[685.98, 686.02] Hz 	Comb with fundamental freq 20 and spacing 1
[686.98, 687.02] Hz 	Comb with fundamental freq 20 and spacing 1
[687.98, 688.02] Hz 	Comb with fundamental freq 20 and spacing 1
[688.98, 689.02] Hz 	Comb with fundamental freq 20 and spacing 1
[689.98, 690.02] Hz 	Comb with fundamental freq 20 and spacing 1
[690.98, 691.02] Hz 	Comb with fundamental freq 20 and spacing 1
[691.98, 692.02] Hz 	Comb with fundamental freq 20 and spacing 1
[692.98, 693.02] Hz 	Comb with fundamental freq 20 and spacing 1
[693.98, 694.02] Hz 	Comb with fundamental freq 20 and spacing 1
[694.98, 695.02] Hz 	Comb with fundamental freq 20 and spacing 1
[695.98, 696.02] Hz 	Comb with fundamental freq 20 and spacing 1
[696.98, 697.02] Hz 	Comb with fundamental freq 20 and spacing 1
[697.98, 698.02] Hz 	Comb with fundamental freq 20 and spacing 1
[698.98, 699.02] Hz 	Comb with fundamental freq 20 and spacing 1
[699.89, 700.11] Hz 	Power Lines
[699.98, 700.02] Hz 	Comb with fundamental freq 20 and spacing 1
[700.98, 701.02] Hz 	Comb with fundamental freq 20 and spacing 1
[701.98, 702.02] Hz 	Comb with fundamental freq 20 and spacing 1
[702.98, 703.02] Hz 	Comb with fundamental freq 20 and spacing 1
[703.98, 704.02] Hz 	Comb with fundamental freq 20 and spacing 1
[704.98, 705.02] Hz 	Comb with fundamental freq 20 and spacing 1
[705.98, 706.02] Hz 	Comb with fundamental freq 20 and spacing 1
[706.98, 707.02] Hz 	Comb with fundamental freq 20 and spacing 1
[707.98, 708.02] Hz 	Comb with fundamental freq 20 and spacing 1
[708.98, 709.02] Hz 	Comb with fundamental freq 20 and spacing 1
[709.98, 710.02] Hz 	Comb with fundamental freq 20 and spacing 1
[710.98, 711.02] Hz 	Comb with fundamental freq 20 and spacing 1
[711.98, 712.02] Hz 	Comb with fundamental freq 20 and spacing 1
[712.98, 713.02] Hz 	Comb with fundamental freq 20 and spacing 1
[713.98, 714.02] Hz 	Comb with fundamental freq 20 and spacing 1
[714.98, 715.02] Hz 	Comb with fundamental freq 20 and spacing 1
[715.98, 716.02] Hz 	Comb with fundamental freq 20 and spacing 1
[716.98, 717.02] Hz 	Comb with fundamental freq 20 and spacing 1
[717.98, 718.02] Hz 	Comb with fundamental freq 20 and spacing 1
[718.98, 719.02] Hz 	Comb with fundamental freq 20 and spacing 1
[719.89, 720.11] Hz 	Power Lines
[719.98, 720.02] Hz 	Comb with fundamental freq 20 and spacing 1
[720.98, 721.02] Hz 	Comb with fundamental freq 20 and spacing 1
[721.98, 722.02] Hz 	Comb with fundamental freq 20 and spacing 1
[722.98, 723.02] Hz 	Comb with fundamental freq 20 and spacing 1
